pop	pop#	ntox	tox	toxse	normtox	normtoxse	viewer	background	noise	vord	dl	ds	euc	qt	qtse	normqt	dluvminus	dsuvminus	eucuvminus
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	crab	leaf	sp	d	1	0.514024923	1	8623.968876	376.5688989	1	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	crab	bark	fix	v	0.973815058	0.325479966	0.974648549	16033.46651	746.8997085	0.946111886	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	crab	bark	sp	v	0.973815058	0.325479966	0.974648549	16033.46651	746.8997085	0.946111886	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	crab	heli	fix	v	0.963151917	0.027381735	0.963252257	16033.46651	746.8997085	0.946111886	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	crab	heli	sp	v	0.963151917	0.027381735	0.963252257	16033.46651	746.8997085	0.946111886	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	crab	leaf	fix	v	0.96863051	0.068173567	0.968853886	16033.46651	746.8997085	0.946111886	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	crab	leaf	sp	v	0.96863051	0.068173567	0.968853886	16033.46651	746.8997085	0.946111886	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	pumilio	bark	fix	d	1	0.796637957	1	8623.968876	376.5688989	1	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	pumilio	bark	sp	d	1	0.796637957	1	8623.968876	376.5688989	1	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	pumilio	heli	fix	d	1	0.796678861	1	8623.968876	376.5688989	1	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	pumilio	heli	sp	d	1	0.796678861	1	8623.968876	376.5688989	1	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	pumilio	leaf	fix	d	1	0.796669081	1	8623.968876	376.5688989	1	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	pumilio	leaf	sp	d	1	0.796669081	1	8623.968876	376.5688989	1	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	pumilio	bark	fix	v	0.985251566	0.630608931	0.985568051	16033.46651	746.8997085	0.946111886	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	pumilio	bark	sp	v	0.985251566	0.630608931	0.985568051	16033.46651	746.8997085	0.946111886	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	pumilio	heli	fix	v	0.98127445	0.630588178	0.982167589	16033.46651	746.8997085	0.946111886	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	pumilio	heli	sp	v	0.98127445	0.630588178	0.982167589	16033.46651	746.8997085	0.946111886	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	pumilio	leaf	fix	v	0.982828311	0.630611226	0.983457279	16033.46651	746.8997085	0.946111886	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	pumilio	leaf	sp	v	0.982828311	0.630611226	0.983457279	16033.46651	746.8997085	0.946111886	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	snake	bark	fix	d	1	0.966743133	1	8623.968876	376.5688989	1	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	snake	bark	sp	d	1	0.966743133	1	8623.968876	376.5688989	1	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	snake	heli	fix	d	1	0.970005461	1	8623.968876	376.5688989	1	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	snake	heli	sp	d	1	0.970005461	1	8623.968876	376.5688989	1	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	snake	leaf	fix	d	1	0.968761732	1	8623.968876	376.5688989	1	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	snake	leaf	sp	d	1	0.968761732	1	8623.968876	376.5688989	1	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	snake	bark	fix	v	0.987316811	0.697699656	0.987397639	16033.46651	746.8997085	0.946111886	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	snake	bark	sp	v	0.987316811	0.697699656	0.987397639	16033.46651	746.8997085	0.946111886	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	snake	heli	fix	v	0.984434098	0.705669566	0.984597826	16033.46651	746.8997085	0.946111886	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	snake	heli	sp	v	0.984434098	0.705669566	0.984597826	16033.46651	746.8997085	0.946111886	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	snake	leaf	fix	v	0.985548589	0.702677361	0.985675541	16033.46651	746.8997085	0.946111886	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	snake	leaf	sp	v	0.985548589	0.702677361	0.985675541	16033.46651	746.8997085	0.946111886	NA	NA	NA
BCO	3	5	1.398059996	0.100933011	0.813145998	0.058705116	bird	leaf	sp	d	0.807007603	0.454236908	0.741234609	7096.925269	395.8853616	0.822930297	0.807007603	0.45510692	0.740967938
BCO	3	5	1.398059996	0.100933011	0.813145998	0.058705116	bird	bark	sp	d	0.874656657	0.526123079	0.833153018	7096.925269	395.8853616	0.822930297	0.874656657	0.525548611	0.832915949
BCO	3	5	1.398059996	0.100933011	0.813145998	0.058705116	bird	heli	sp	d	0.812611531	0.595893399	0.745495126	7096.925269	395.8853616	0.822930297	0.812611531	0.595911526	0.745281678
BCO	3	5	1.398059996	0.100933011	0.813145998	0.058705116	bird	bark	fix	d	0.874656657	0.526123079	0.833153018	7096.925269	395.8853616	0.822930297	NA	NA	NA
BCO	3	5	1.398059996	0.100933011	0.813145998	0.058705116	bird	heli	fix	d	0.812611531	0.595893399	0.745495126	7096.925269	395.8853616	0.822930297	NA	NA	NA
BCO	3	5	1.398059996	0.100933011	0.813145998	0.058705116	bird	leaf	fix	d	0.807007603	0.454236908	0.741234609	7096.925269	395.8853616	0.822930297	NA	NA	NA
BCO	3	5	1.398059996	0.100933011	0.813145998	0.058705116	bird	bark	fix	v	1	0.24559857	1	16946.69178	747.4060413	1	NA	NA	NA
BCO	3	5	1.398059996	0.100933011	0.813145998	0.058705116	bird	bark	sp	v	1	0.24559857	1	16946.69178	747.4060413	1	NA	NA	NA
BCO	3	5	1.398059996	0.100933011	0.813145998	0.058705116	bird	heli	fix	v	1	0.108756552	1	16946.69178	747.4060413	1	NA	NA	NA
BCO	3	5	1.398059996	0.100933011	0.813145998	0.058705116	bird	heli	sp	v	1	0.108756552	1	16946.69178	747.4060413	1	NA	NA	NA
BCO	3	5	1.398059996	0.100933011	0.813145998	0.058705116	bird	leaf	fix	v	1	0.352734437	1	16946.69178	747.4060413	1	NA	NA	NA
BCO	3	5	1.398059996	0.100933011	0.813145998	0.058705116	bird	leaf	sp	v	1	0.352734437	1	16946.69178	747.4060413	1	NA	NA	NA
BCO	3	5	1.398059996	0.100933011	0.813145998	0.058705116	crab	bark	fix	d	0.610905946	0.018663311	0.610928492	7096.925269	395.8853616	0.822930297	NA	NA	NA
